Product,Revenue,Session,Time
TLSBIA,25375,3.861702128,8.311686978
NTEALG,25310,4.233333333,8.140805508
MRSVCE,25308,6,8.301804986
LYSLIG,25170,4.965986395,8.841974382
BHXCDG,25059.32,5.577464789,11.6992963
BODMUC,24641,4.491525424,11.02152481
NCEFSC,24497,3.709923664,8.103572613
NTEAJA,24490,4.654545455,8.580666007
SXBBIQ,24479,3.692307692,8.484991584
NCECFR,24380,3.218390805,6.354769584
MRSCPH,24295,4.151515152,8.07811734
CFRNCE,24030,3.464285714,9.049203306
AMSLYS,24018,6.028169014,10.6723101
RNSCDG,23766,4.937007874,10.2609058
SXBLIS,23444,4.493506494,9.023088276
OSLCDG,23194,4.629213483,9.097554811
SXBPUF,23005,3.79787234,9.035003001
BESSXB,22928,4.539215686,9.680569419
LIGLYS,22827,4.034188034,8.840135877
NCETUN,22557,3.6875,7.487403637
BIALYS,22262,3.461538462,8.364724467
BIQSXB,22216,5.275510204,9.137365463
PUFSXB,22047,4.333333333,8.262894405
NTEORY,22033,6.330508475,10.09492532
HAJCDG,21887,4.380597015,9.216507385
ETZLYS,21885,3.25,8.603461045
RNSBOD,21817,6.150943396,14.57195097
CFEAMS,21657,4.040540541,8.273262131
FRACDG,21549,4.72972973,8.74508996
AJANCE,21518,3.394117647,6.643023691
MLHBOD,21336,4.222222222,8.358403566
BIABOD,21286,5.023255814,8.513410146
CDGPMO,21070,4.357142857,8.704609677
ORYLIG,21013,4.519379845,10.10240357
VLCCDG,20972,3.542857143,8.37233794
PUFLCY,20068,4.20212766,8.033816205
BODTXL,19991,3.338235294,9.336483426
TLSAJA,19962,3.084507042,6.513106968
MPLAMS,19549,4.195121951,10.22117045
BCNLYS,19512,3.237704918,7.447201197
BODMLH,19425,3.4,7.552758697
AMSTLS,19402,5.277777778,10.32707999
SXBBES,19377,2.785714286,5.864409412
ORYAGF,19010,4.029126214,10.01744273
NUECDG,18970,4.286956522,8.389235665
NCECLY,18930,4.060869565,8.226399034
AJALYS,18646,4.811111111,10.13892837
SXBCFE,18502,4.666666667,11.25465096
ORYBVE,18378,4.981651376,9.701946468
XDBCMN,18207,3.695652174,6.285696737
GOTCDG,17707,4.977272727,10.19409669
MLHBIQ,17670,6.120689655,5.577421395
HELCDG,17668,4.090909091,7.631866458
FSCMRS,17488,3.511278195,7.459286943
ORYDCM,17362,3.442307692,8.33070205
ABZCDG,17339.18,4.833333333,8.077294139
EDICDG,17159.16,3.977272727,8.764398053
SXBAMS,17140,6.053571429,9.867480291
AJABOD,17036,3.961038961,8.509975358
NTEFRA,16990,5.58974359,14.82440939
NTEBIA,16950,3.173076923,5.875559935
AGFORY,16837,4.207920792,10.05325886
PTPFDF,16770,3.47761194,9.173337437
XDBRBA,16706,3.475409836,5.297815429
CLYMRS,16678,4.619047619,9.547862723
LRTNCE,16476,3.367647059,8.212555211
SOFCDG,16457,6.295081967,10.03251655
TLSHAM,16397,2.947368421,7.161601215
STRCDG,16334,4.383561644,9.188143169
LIGORY,16276,3.754237288,12.67115608
XDBTUN,16244,4.735849057,10.49821807
BRULYS,16186,5.069444444,10.58662329
BRECDG,16118,4.59375,10.9069742
BVEORY,16098,4.863636364,11.44225423
AMSMRS,16069,3.4,7.824577227
PRGLYS,15955,3.898550725,6.934214254
NTEMUC,15920,4.5,9.209084064
BODDUS,15887,6.571428571,13.37375458
BCNORY,15819,3.627659574,8.203265701
CDGIAS,15739,5.304347826,7.604663901
BIATLS,15665,5.333333333,9.842272016
BIQMLH,15526,4.186440678,9.430644364
CFRTLS,15358,3.785714286,7.065236233
TLSGVA,15241,5.925925926,13.62079127
MRSLRT,15198,4.411764706,9.146400657
BODGVA,14672,5.2,10.86635663
MLHMPL,14613,4.522727273,11.55007989
CDGCWL,14549,4.651162791,8.921284722
MPLBES,14308,7.982758621,11.97712667
BEGCDG,14061,2.892857143,5.840319021
SXBAJA,14036,5.522727273,10.18247922
BRSCDG,13850.89,3.886075949,9.167756169
VRNCDG,13816,4.108108108,9.32464829
LCYORY,13752.77,5.152941176,9.947319326
LIGNCE,13680,5.82,10.89933507
AMSBOD,13580,4.357142857,10.62767549
LYSMLH,13520,5.25,10.88855621
MLHBES,13415,3.769230769,10.43133534
LCYNTE,13375.35,4.3671875,7.736092361
AJATLS,13280,4.877192982,8.769407822
NCEUIP,13278,4.181818182,7.755613672
MRSEIN,13245,4.048387097,9.33712955
GOACDG,13065,3.325581395,7.829368436
AMSNTE,12848,2.390243902,3.782937263
BODBES,12824,4.076923077,8.43338569
